order_depot_id,order_id,security_id,limit_price,order_side,order_start_date,order_end_date
RZ87Q4,195023,XH1255292623,  58.555465,B,2022-08-06,2022-09-06
NW06H4,906761,KP9448583117,  69.533725,S,2022-08-25,2022-09-04
RI03M6,330725,RN4078058642,  34.324970,S,2022-08-15,2022-09-04
FI62R8,334571,MA5420270376,  79.408885,B,2022-08-13,2022-08-27
NR09D7,288608,BL2635589758,  28.878540,S,2022-08-10,2022-09-04
JG81Q7,517533,WK7863720712,  90.653805,S,2022-08-09,2022-09-14
CS19R0,935811,TQ5812607553,  44.116120,S,2022-07-28,2022-09-01
OM74N4,828914,GH6572151232,  42.509035,S,2022-08-01,2022-09-19
OY18K8,984056,PP1711042725,  24.717350,S,2022-07-31,2022-09-17
LD62W5,900265,SA9032566781,  94.372655,B,2022-08-14,2022-09-06
RT21W7,490257,QQ8733056337,  40.615620,B,2022-08-06,2022-09-05
FZ71J5,858537,DA6158024914,  41.447795,S,2022-08-09,2022-08-31
VV50S6,504127,YA3512325375,  83.726375,B,2022-08-09,2022-09-01
EJ66Q6,949122,RY5849448308,  97.548035,B,2022-08-17,2022-08-31
DV58A3,349741,BO3693175317,  10.870710,S,2022-08-09,2022-09-24
KB67W9,404837,XJ7579368154,  32.507125,S,2022-08-25,2022-09-08
XN49F7,82107,PS8375278603,  23.759415,S,2022-08-18,2022-09-13
KC11X3,242893,EB0584236104,  39.272415,S,2022-08-25,2022-09-02
BV50H4,180331,EK8866321449,  74.743685,B,2022-08-16,2022-09-06
VI87B7,276776,FE1146238756,  18.468030,S,2022-07-30,2022-09-21
JF68A7,558647,ZF7035731937,  65.146460,S,2022-07-27,2022-09-12
WG86E5,523133,FX9976915598,  17.647250,B,2022-08-09,2022-09-14
WE02C2,560951,WQ2837532568,  91.037010,B,2022-08-14,2022-09-10
BA30U5,401691,EB9388184083,  84.642365,B,2022-08-12,2022-08-29
PM84Y7,4837,BF8455800321,  37.286130,B,2022-08-24,2022-09-05
ET79G3,538678,OJ7726998774,   8.072760,S,2022-08-03,2022-09-03
GJ82X3,383962,DQ3000418490,  12.044665,S,2022-08-01,2022-09-16
TX57V4,983736,RC2783781230,  93.160530,S,2022-08-14,2022-09-18
HX98O5,804812,JD9618317225,  33.479740,S,2022-08-08,2022-09-23
PE91R3,146373,ID8744302077,  80.320205,B,2022-07-31,2022-09-01
OT89Y8,813722,QD5333884611,  28.321180,B,2022-08-07,2022-09-06
ZL46V5,358295,SK3290579307,  11.780075,B,2022-07-30,2022-09-16
NZ34H5,713851,ZH6379981456,  84.457610,S,2022-08-02,2022-08-27
LX59D6,636902,KM3329996618,  25.747570,B,2022-07-30,2022-09-07
PY18N8,707394,RB8505292378,  92.136840,B,2022-08-05,2022-09-04
WU71I7,285054,OH6662982305,  70.324670,S,2022-08-11,2022-09-01
JT83A7,551867,SH2643895878,  31.249045,S,2022-08-03,2022-09-15
AV17P2,552365,GC0191128625,  90.473880,B,2022-08-12,2022-08-31
HV29B4,581747,VY9820652286,   3.871800,B,2022-08-16,2022-09-22
MX11S9,561992,OQ7400096297,  41.264535,S,2022-08-05,2022-09-11
HL54T5,8496,RT7353784752,  16.189460,S,2022-08-14,2022-09-24
TD57C2,339420,WG9632607102,  52.301980,B,2022-07-31,2022-09-07
FB99W3,740955,UU9687823455,  28.311885,S,2022-08-06,2022-09-11
MF92P6,836146,JO9025282674,  56.839255,S,2022-08-08,2022-09-02
TW21U6,298830,GE8447594971,   2.744500,B,2022-08-01,2022-09-20
GV61H4,896915,PH9221577844,  43.798295,S,2022-08-19,2022-09-19
AU46E5,949068,KX5157261776,  90.160255,S,2022-08-17,2022-09-20
MF22Q1,947948,HN3222266519,  35.568115,S,2022-08-11,2022-09-23
CT15J8,605430,OL0117041052,  81.331350,B,2022-08-11,2022-09-12
BI09F2,751607,BH7490410449,  87.247060,B,2022-08-20,2022-09-04
AN56F9,961347,UE4948110186,  14.457375,S,2022-07-27,2022-09-14
IK53O0,419736,UQ5863997148,  83.270065,S,2022-08-24,2022-09-24
RO29I3,177227,YO1700737327,  15.993455,B,2022-07-29,2022-09-11
KK07U9,423182,AT7039256652,  15.816200,B,2022-08-20,2022-09-13
VP52W4,723273,MP8963263634,   0.117780,B,2022-08-04,2022-09-17
MW72Y2,439229,RW1903014247,  66.614440,B,2022-08-19,2022-09-06
CK84V0,372361,HT3381039448,  44.555150,B,2022-08-08,2022-09-14
YR64C6,521621,BT7254988137,  29.473000,B,2022-08-19,2022-08-31
SL35Z1,914069,YS4820216513,  37.448350,S,2022-08-22,2022-09-21
RP36I1,226722,ET1353811217, 101.445550,B,2022-08-22,2022-09-24
EP30N5,522344,HP1512400845, 102.697445,B,2022-08-07,2022-09-11
RJ92V7,369806,UQ2725074428,  92.089300,B,2022-08-12,2022-09-02
YQ07Z1,542965,UV6010613239,  47.438810,B,2022-07-31,2022-09-08
HN04G3,546367,ID9691158843,  79.185035,S,2022-08-19,2022-09-07
SG03K0,327269,CV6781634009,  30.808720,B,2022-08-25,2022-09-14
RA55B3,728593,JJ5992209108,  66.861170,S,2022-08-11,2022-09-05
UO80Z1,183376,SG8063600378,  29.847185,B,2022-08-06,2022-08-27
BR94E6,992136,VF4553061563,   9.878125,S,2022-08-05,2022-09-08
HX90K1,446350,CN2524281010,  33.420330,B,2022-08-12,2022-09-10
KZ23Y4,107976,ZM8493528109,  73.580250,B,2022-07-31,2022-09-21
QS66G1,819157,BZ6952760200,  91.478345,B,2022-08-03,2022-09-03
RR36N9,703277,OA2540333228,  84.655750,S,2022-08-18,2022-09-23
